Estado,Ene-Mar 2013,Abr-Jun 2013,Jul-Sep 2013,Oct-Dic 2013,Ene-Mar 2014,Abr-Jun 2014,Jul-Sep 2014,Oct-Dic 2014,Ene-Mar 2015,Abr-Jun 2015,Jul-Sep 2015,Oct-Dic 2015,Ene-Mar 2016,Abr-Jun 2016,Jul-Sep 2016,Oct-Dic 2016,Ene-Mar 2017,Abr-Jun 2017,Jul-Sep 2017,Oct-Dic 2017,Ene-Mar 2018,Abr-Jun 2018,Jul-Sep 2018,Oct-Dic 2018,Ene-Mar 2019,Abr-Jun 2019,Jul-Sep 2019,Oct-Dic 2019,Ene-Mar 2020,Abr-Jun 2020,Jul-Sep 2020,Oct-Dic 2020,Ene-Mar 2021,Abr-Jun 2021,Jul-Sep 2021,Oct-Dic 2021,Ene-Mar 2022,Abr-Jun 2022,Jul-Sep 2022,Oct-Dic 2022,Ene-Mar 2023
Michigan,38.786042,47.359664,50.069678,40.568185,36.108683,38.231867,53.642396,45.483771,50.814106,61.909625,70.376793,60.752136,59.458907,70.720307,75.649821,70.692561,69.45678,79.145713,89.034087,84.568128,71.325754,95.34701,98.942169,98.089806,83.283217,103.640387,120.782898,95.075328,84.106479,90.879167,122.334322,106.905517,95.180664,127.413327,145.667699,136.387259,114.179737,161.981547,177.953073,150.136,120.270435
Minnesota,69.004887,82.026345,89.38145,180.075619,176.9733,104.932168,185.452057,212.742958,175.243992,158.062322,136.887052,111.530367,124.821371,128.670986,125.027808,128.931086,136.445988,135.411704,137.047209,144.944959,174.403337,175.868722,165.333447,171.410509,151.198523,177.96082,204.440384,200.767782,310.174036,431.971261,509.425388,556.928616,652.149708,839.045746,909.790883,1002.19776,995.067684,1188.308175,1210.48171,1314.461243,1349.359675
Mississipi,22.332232,28.542577,27.377763,25.425747,20.727579,23.138011,28.022201,26.185849,22.146327,29.488355,26.863133,30.022147,25.468737,29.845035,28.083005,30.225497,26.795775,32.788366,31.4153,32.936655,22.499823,37.360506,33.577385,36.136309,30.969543,39.203389,36.592963,33.963629,27.430566,32.853107,33.835849,34.892662,29.989174,39.243704,39.878514,41.825371,33.54686,43.946875,45.325493,46.391155,41.600431
Misuri,25.76273,33.351475,33.633669,30.864157,24.115242,31.166991,36.059728,32.063726,33.106675,44.290734,50.949785,42.322286,39.564011,49.650396,48.561916,47.934326,45.863378,55.367509,54.920226,54.908757,43.97649,63.484616,58.117625,60.893196,51.829091,65.772588,75.232175,65.532814,54.342459,66.863888,78.424005,69.925005,60.484731,82.439713,86.589469,79.83323,65.766848,88.911057,105.406638,87.996446,72.257772
Montana,0.937272,3.783004,2.117292,1.269034,0.986005,1.629812,3.225627,2.058414,3.058371,5.830706,8.974093,7.177102,3.529297,5.871424,5.243068,4.816941,4.624426,5.434525,5.887281,5.903113,5.084272,6.322712,5.978593,6.273188,5.748022,7.308195,11.219215,6.938394,4.240604,9.034628,11.976551,6.212451,5.130337,9.894044,17.27067,11.872022,9.555542,18.48185,21.109835,12.5734,14.331791
Nebraska,21.613482,27.165165,26.460138,24.720673,20.724803,22.363093,26.71272,24.870355,26.523796,28.630685,32.357329,30.998895,32.198832,34.416083,37.279023,37.184633,32.425316,38.26626,39.567092,40.67451,30.340729,45.110149,41.689488,44.78372,39.95217,48.63732,51.692789,49.886611,44.365216,48.421094,49.348192,45.25939,44.902127,53.552478,60.699255,59.553223,48.956514,56.476827,65.149559,60.869345,46.127075
Nevada,59.559471,67.118955,57.59548,55.900019,56.82332,51.456831,56.187165,56.062475,62.455301,63.513449,64.261665,58.643591,67.172661,70.441755,72.071173,71.273169,74.98267,78.084542,80.087612,80.427531,77.521436,94.307344,85.922863,89.600775,82.303379,97.050159,107.650506,101.02414,105.759224,109.216816,115.19593,113.72682,116.726266,138.285202,141.035211,144.856143,127.809812,149.157903,157.041265,158.387539,172.449444
Nuevo Hampshire,2.736179,3.277321,3.022639,3.093592,2.402098,3.550341,3.276029,2.995864,3.280792,4.918158,5.745351,6.268714,4.494705,5.540608,5.477015,5.42969,5.274035,5.590908,5.510506,5.623032,5.433016,6.169993,5.786672,6.29145,5.576584,6.985137,8.582623,7.474666,5.869725,7.09113,7.828109,7.113162,6.436469,10.181205,11.47279,10.744313,7.717372,11.634899,14.608082,16.343949,7.734391
Nueva Jersey,86.382134,116.451351,103.636579,95.812518,79.592394,96.031252,103.688036,89.496618,80.883478,102.334068,110.900783,101.587936,95.617789,108.733317,106.41816,103.990311,96.098683,112.362619,110.21763,108.088243,92.284674,163.400691,142.939306,139.476472,124.757563,151.327313,140.517847,125.799094,123.032413,116.218578,134.354819,128.532498,128.772639,157.532955,183.528041,177.203624,153.432092,193.007553,205.660175,202.685341,165.180797
Nuevo Mexico,37.378389,43.314993,31.900093,30.982444,31.489219,29.014609,29.00956,30.283525,34.906168,35.762745,36.692745,34.028933,34.538863,36.631509,36.800428,37.152174,37.099471,40.653138,41.308795,42.927476,45.2639,52.55193,49.633561,52.636241,50.494092,60.118775,69.484431,65.522186,65.986574,72.168496,71.446389,61.616621,63.484442,78.119434,81.179277,79.374089,69.272987,83.96047,94.850764,87.257762,79.225285
Nueva York,192.805302,219.525684,187.747482,199.316522,163.963397,207.189382,210.324967,193.69703,191.76518,255.127852,269.257928,263.624104,247.663324,283.03783,271.300808,273.500001,271.159698,309.483655,278.49548,324.531127,236.283641,324.113172,287.606037,311.593879,283.626873,332.565799,317.98028,289.036909,286.610486,223.128665,309.568894,264.024701,235.06303,297.353887,349.642875,337.128427,279.841815,353.288033,382.93885,394.333749,273.721472
Carolina Del Norte,127.434972,171.855367,164.399532,138.323129,109.528994,136.715635,170.680875,144.10671,105.469416,148.9866,165.583627,139.755825,126.635946,165.598192,177.54514,163.921421,158.580432,180.152659,194.547421,183.479437,148.37205,208.377745,201.724228,199.391656,172.700537,223.009231,244.456708,223.703309,181.533326,206.115372,233.884723,218.677224,195.026345,247.681153,252.425061,248.1006,203.604435,267.168284,291.769129,277.856403,197.478933
Dakota Del Norte,3.482914,16.116532,7.925145,6.102257,4.199355,6.963358,10.8262,10.093311,19.006663,26.95248,35.097698,33.425554,14.00044,18.171637,16.653351,16.410992,12.237108,18.605551,19.028781,19.495511,13.833918,21.988726,21.003211,22.791559,21.180757,24.482169,49.826715,34.808799,19.534341,24.65149,31.710302,22.572754,13.359232,31.583125,52.973126,34.939259,19.601055,37.97804,64.799723,56.720605,42.815089
Ohio,41.399262,58.580782,52.578323,49.519679,42.178908,45.496731,53.289219,46.247877,37.487501,53.213876,58.168855,49.30849,43.641937,56.079589,57.08817,54.849063,51.463164,62.304657,63.971144,62.597545,52.150456,73.218106,69.98478,71.59769,61.036743,80.195362,95.109496,78.507461,66.913882,77.920033,91.341671,79.216206,70.516086,98.563172,111.890994,98.500802,75.309741,109.508616,128.151402,108.943434,204.775545
Oklahoma,49.791139,58.243594,55.821827,50.186303,40.805413,44.623751,52.479392,49.157711,48.962944,57.111805,60.804508,55.326957,53.513186,58.722387,57.192516,56.828702,57.307949,62.363175,62.942202,63.658167,56.246543,74.201259,67.842684,71.144534,64.460564,76.009068,71.469963,66.17953,62.834447,67.399814,68.554493,66.629095,63.34094,77.577416,75.617599,79.739237,64.823755,76.935624,75.806244,77.85638,71.872891
Oregon,64.524796,79.796266,75.939053,73.531969,62.692695,61.258654,75.207356,69.999397,51.500991,60.277864,65.394337,55.146458,58.468863,64.574097,70.788713,67.914538,65.754276,72.633178,79.523546,82.216621,69.282925,90.517836,89.657093,95.229684,73.851027,90.776448,106.933846,97.737025,91.089817,95.926325,110.120351,108.525542,99.557148,114.673346,131.58294,133.05033,105.467272,124.497286,138.311988,127.551292,105.458877
