PERIODO,CVE_ENT,ENTIDAD,VALOR_USD
2005-07-01,9,Ciudad de México,347553610
2005-07-01,10,Durango,102136221
2005-07-01,11,Guanajuato,516795426
2005-07-01,12,Guerrero,300068699
2005-07-01,13,Hidalgo,225290386
2005-07-01,14,Jalisco,440718461
2005-07-01,15,Estado de México,474129937
2005-07-01,16,Michoacán,642311691
2005-07-01,17,Morelos,132923178
2005-07-01,18,Nayarit,81189178
2005-07-01,19,Nuevo León,74218039
2005-07-01,20,Oaxaca,296317520
2005-07-01,21,Puebla,320989558
2005-07-01,22,Querétaro,112166583
2005-07-01,23,Quintana Roo,21306829
2005-07-01,24,San Luis Potosí,151316376
2005-07-01,25,Sinaloa,119091019
2005-07-01,26,Sonora,76480619
2005-07-01,27,Tabasco,42405642
2005-07-01,28,Tamaulipas,113909025
2005-07-01,29,Tlaxcala,63888446
2005-07-01,30,Veracruz,365627746
2005-07-01,31,Yucatán,24330098
2005-07-01,32,Zacatecas,141584824
2005-10-01,1,Aguascalientes,89207267
2005-10-01,2,Baja California,67197350
2005-10-01,3,Baja California Sur,6514495
2005-10-01,4,Campeche,17874002
2005-10-01,5,Coahuila,63541850
2005-10-01,6,Colima,42102486
2005-10-01,7,Chiapas,204501292
2005-10-01,8,Chihuahua,101852196
2005-10-01,9,Ciudad de México,382921387
2005-10-01,10,Durango,93950638
2005-10-01,11,Guanajuato,469251554
2005-10-01,12,Guerrero,306290144
2005-10-01,13,Hidalgo,208394639
2005-10-01,14,Jalisco,441666493
2005-10-01,15,Estado de México,475235833
2005-10-01,16,Michoacán,615468322
2005-10-01,17,Morelos,133735849
2005-10-01,18,Nayarit,79214414
2005-10-01,19,Nuevo León,76931332
2005-10-01,20,Oaxaca,285187454
2005-10-01,21,Puebla,316365326
2005-10-01,22,Querétaro,100478170
2005-10-01,23,Quintana Roo,21665621
2005-10-01,24,San Luis Potosí,146618559
2005-10-01,25,Sinaloa,117447259
2005-10-01,26,Sonora,73905211
2005-10-01,27,Tabasco,42610176
