Estado,Ene-Mar 2013,Abr-Jun 2013,Jul-Sep 2013,Oct-Dic 2013,Ene-Mar 2014,Abr-Jun 2014,Jul-Sep 2014,Oct-Dic 2014,Ene-Mar 2015,Abr-Jun 2015,Jul-Sep 2015,Oct-Dic 2015,Ene-Mar 2016,Abr-Jun 2016,Jul-Sep 2016,Oct-Dic 2016,Ene-Mar 2017,Abr-Jun 2017,Jul-Sep 2017,Oct-Dic 2017,Ene-Mar 2018,Abr-Jun 2018,Jul-Sep 2018,Oct-Dic 2018,Ene-Mar 2019,Abr-Jun 2019,Jul-Sep 2019,Oct-Dic 2019,Ene-Mar 2020,Abr-Jun 2020,Jul-Sep 2020,Oct-Dic 2020,Ene-Mar 2021,Abr-Jun 2021,Jul-Sep 2021,Oct-Dic 2021,Ene-Mar 2022,Abr-Jun 2022,Jul-Sep 2022,Oct-Dic 2022,Ene-Mar 2023,Abr-Jun 2023,Jul-Sep 2023,Oct-Dic 2023
Oregon,67.16488,82.380786,78.452298,76.153701,65.194345,63.444546,77.176706,71.854119,56.221934,63.788683,69.681279,58.947574,61.518002,99.62394,75.154566,71.960309,67.763221,74.96246,82.225017,84.780686,71.359514,93.642043,93.052744,98.50284,76.556865,94.445563,111.596761,101.998063,96.308807,101.720764,117.523345,116.186634,107.132947,123.778635,135.943774,137.741574,109.444151,128.711756,142.927382,132.528464,109.47672,128.393678,216.064652,184.98007
Pensilvania,45.970181,64.778157,57.311697,52.841444,41.734316,48.372723,54.185435,50.399989,49.735984,69.115647,74.090732,63.902425,55.293371,64.679552,65.706236,64.024024,59.766584,72.244657,72.339984,72.961859,55.359599,80.861752,75.570733,79.799403,69.557927,85.988079,86.256454,73.66539,62.810092,67.260433,79.712797,74.511046,65.21341,93.25571,106.730793,103.331579,77.933278,111.25125,129.667581,118.75226,94.843835,129.387606,169.361696,144.002085
Puerto Rico,0.299995,0.291274,0.21365,0.113097,0.089143,0.069601,0.070078,0.084474,1.882323,1.306933,1.568563,1.800282,2.552157,0.546371,2.42162,2.516841,2.764766,2.98299,3.015117,3.116124,2.471987,3.633487,3.325411,3.546823,3.283713,3.843548,2.64466,2.874132,0.359154,0.442167,0.549047,0.466409,0.406768,0.405369,0.431452,0.547909,0.46863,0.418681,0.534447,1.58246,13.105827,16.811773,16.915816,16.069443
Rhode Island,2.580926,2.925488,2.4884,2.342424,5.63032,3.210279,3.939746,2.443817,3.721483,4.843231,4.952549,4.850472,4.808795,5.722171,5.802099,5.621754,4.132418,5.051006,5.124867,5.17811,3.653454,5.965774,5.534048,5.788506,5.189933,6.386008,5.297044,5.043518,4.539759,3.973565,5.384434,5.088639,5.026413,6.199181,6.956373,6.195666,5.15218,6.476897,6.751985,6.914807,6.63172,6.889416,8.545414,7.979983
Carolina Del Sur,57.449641,73.835277,60.604338,57.588557,50.720019,56.848746,64.062454,59.957814,42.827928,63.794022,64.823878,55.438733,60.830951,105.684018,75.051876,72.04112,79.504412,84.730086,81.577554,82.485487,75.763563,99.330643,89.368269,90.088859,82.983482,103.982783,97.731504,90.070537,85.468599,93.976883,97.776602,95.206711,93.375864,116.04134,111.909618,110.919382,97.798695,121.697529,126.049795,129.986717,117.70948,139.650931,243.177702,207.645297
Dakota Del Sur,3.065886,4.181648,4.680853,4.133717,3.239858,5.151394,6.130105,4.896769,5.403152,8.392934,11.427901,11.662253,6.080789,6.295407,8.65112,8.441512,6.317054,8.483371,9.24783,9.572168,7.179312,10.578358,10.631304,11.240993,9.456781,11.580244,13.920018,11.223725,8.112417,10.159849,13.174774,10.931391,8.288664,11.991591,16.269134,13.412106,7.947056,14.466073,21.785849,16.980671,11.128576,18.172249,19.647969,16.549576
Tennessee,66.986933,86.41093,80.873011,78.554613,64.058717,71.197445,87.519517,80.096136,68.327073,90.642759,102.097295,94.189343,88.467066,110.918008,110.076813,109.014578,118.080822,123.473752,127.81132,128.762856,111.477984,148.991957,143.169152,143.840054,127.464057,156.81985,171.63062,155.185806,145.627749,160.745939,179.11194,179.571492,164.260987,210.614252,217.227257,216.457261,187.491963,243.053072,255.797124,248.142578,216.411239,261.365392,308.70496,273.13047
Texas,670.099246,767.076011,648.454611,667.019718,572.048405,653.494348,702.20588,718.284181,770.326099,874.457475,912.936831,862.70181,880.685734,941.439817,969.875481,994.588734,1025.790486,1156.512761,1148.645744,1205.704468,1134.258728,1385.290434,1249.198042,1325.092604,1223.160694,1441.262892,1595.840105,1546.047757,1588.874858,1768.044188,1750.007809,1733.995324,1742.697507,2163.976403,2220.391307,2352.920426,2061.137954,2398.985385,2441.397788,2444.061654,2199.579874,2557.444047,2248.376633,2240.717868
Utah,47.224343,56.420881,48.058716,50.132066,50.97624,46.687888,48.002692,46.648944,39.334176,43.525258,45.143109,42.673428,45.421554,65.728667,52.098652,52.10988,47.21244,54.62487,55.355821,58.636874,54.330344,69.18264,63.702794,69.10553,59.382006,72.786781,76.927102,72.501755,72.656315,81.602832,84.560987,85.209495,85.496364,104.882546,107.504393,110.410557,96.35163,123.992609,129.044744,126.846061,103.92408,125.511647,159.636917,141.792411
Vermont,0.974121,0.981136,0.92887,0.778805,0.633986,0.704923,0.787336,0.8853,2.931023,2.976057,3.86047,3.805435,4.780949,1.760378,5.067981,5.094114,6.480133,5.615175,5.701031,5.868775,6.880475,6.631749,6.229807,6.584625,6.050892,7.243697,6.69973,4.59489,2.059559,1.772271,2.264039,2.285901,2.008033,1.892098,2.114702,2.443996,1.598392,2.063445,2.723941,3.676723,19.02669,22.64948,24.944669,23.593577
